id;code;okved;version;ismain
2b306812-36cb-4707-9518-606a9272b7f7;47.41.1;Торговля розничная компьютерами в специализированных магазинах;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.52.7;Торговля розничная строительными материалами, не включенными в другие группировки, в специализированных магазинах;2014;0
44b1da46-496c-49e9-a044-cf00a5b08d3d;49.41;Деятельность автомобильного грузового транспорта;2014;1
44b1da46-496c-49e9-a044-cf00a5b08d3d;43.22;Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха;2014;0
44b1da46-496c-49e9-a044-cf00a5b08d3d;47.52;Торговля розничная скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах;2014;0
6e5aba38-7057-4bbd-b728-d7b8d1a50bc5;47.71;Торговля розничная одеждой в специализированных магазинах;2014;0
9d2e96c1-6119-4621-97d5-b8729bc30a24;78.2;Деятельность агентств по временному трудоустройству;2014;1
9d2e96c1-6119-4621-97d5-b8729bc30a24;43.34.1;Производство малярных работ;2014;0
9d2e96c1-6119-4621-97d5-b8729bc30a24;49.41.2;Перевозка грузов неспециализированными автотранспортными средствами;2014;0
80515e72-99fa-49c1-8d15-6961062a3385;68.31.32;Предоставление консультационных услуг при купле-продаже нежилого недвижимого имущества за вознаграждение или на договорной основе;2014;0
5fe3a8b9-3aad-4dfa-8103-f89643cc5592;47.78;Торговля розничная прочая в специализированных магазинах;2014;0
bd28c629-b50c-493a-8da3-06d2400b8d2d;95.11;Ремонт компьютеров и периферийного компьютерного оборудования;2014;0
bd28c629-b50c-493a-8da3-06d2400b8d2d;47.63.2;Торговля розничная лентами и дисками без записей в специализированных магазинах;2014;0
bd28c629-b50c-493a-8da3-06d2400b8d2d;95.2;Ремонт предметов личного потребления и хозяйственно-бытового назначения;2014;0
a1906b11-61c2-473b-9c9b-bcd5ada01bad;47.81;Торговля розничная в нестационарных торговых объектах и на рынках пищевыми продуктами, напитками и табачной продукцией;2014;0
5947e1a1-5dbe-42e4-a326-7f352f1c26b9;25.62;Обработка металлических изделий механическая;2014;0
5947e1a1-5dbe-42e4-a326-7f352f1c26b9;85.41.9;Образование дополнительное детей и взрослых прочее, не включенное в другие группировки;2014;0
100c920f-1c33-4bfa-88e1-50fca90c4037;42.11;Строительство автомобильных дорог и автомагистралей;2014;1
100c920f-1c33-4bfa-88e1-50fca90c4037;77.39.2;Аренда и лизинг прочих машин и оборудования, не включенных в другие группировки;2014;0
100c920f-1c33-4bfa-88e1-50fca90c4037;10.71.3;Производство охлажденных хлебобулочных полуфабрикатов;2014;0
100c920f-1c33-4bfa-88e1-50fca90c4037;47.29.32;Торговля розничная крупами в специализированных магазинах;2014;0
100c920f-1c33-4bfa-88e1-50fca90c4037;47.29.3;Торговля розничная прочими пищевыми продуктами в специализированных магазинах;2014;0
7bc0af6b-3306-41fc-a9cd-0c47e3a51e8b;47.51;Торговля розничная текстильными изделиями в специализированных магазинах;2014;0
3da2a4fa-b17a-4661-883c-363cce5f2206;47.21.2;Торговля розничная консервированными фруктами, овощами и орехами в специализированных магазинах;2014;0
